1;Parroquia Cristo Obrero;Pasaje Catena,4152,Santa Fe
2;Parroquia Inmaculada Concepci¢n y Santo Tom s de Aquino;Calle Obispo Gelabert,2051,Santo Tom‚
3;Parroquia Jes£s Resucitado;Manzana 2, Alto Verde, Santa Fe
4;Parroquia Jes£s Sacramentado;Calle Roberto Aldao,1543,Santa Fe
5;Parroquia Mar¡a Auxiliadora;Calle Alberti,2555,Santa Fe
6;Parroquia Nuestra Se¤ora de Am‚rica;Calle Cafferata y Gorriti,Santa Fe
7;Parroquia Nuestra Se¤ora de Bel‚n;Ruta 1, Km 2.5 Colastin‚ Norte, Santa Fe
8;Parroquia Nuestra Se¤ora de F tima;Calle Facundo Zuvir¡a,4334,Santa Fe
9;Parroquia Nuestra Se¤ora de Guadalupe;Calle Javier de la Rosa,623,Santa Fe
10;Parroquia Nuestra Se¤ora de la Merced;Avenida Freyre,1838,Santa Fe
11;Parroquia Nuestra Se¤ora de la Merced;Calle Buenos Aires,1224,Monte Vera
12;Parroquia Nuestra Se¤ora de La Paz;Calle Alberdi,1750,Santo Tom‚
13;Parroquia Nuestra Se¤ora de la Salette;Calle Sarmiento,3927,Santa Fe
14;Parroquia Nuestra Se¤ora de Lourdes;Calle Fr.C.Rodr¡guez,3758,Santa Fe
15;Parroquia Nuestra Se¤ora de Luj n;Avenida Arist¢bulo del Valle,6090,Santa Fe
16;Parroquia Nuestra Se¤ora de Luj n;Avenida Luj m y Ricchieri, Santo Tom‚
17;Parroquia Nuestra Se¤ora de Pompeya;Suc 8, Las Flores II,SantaFe
18;Parroquia Nuestra Se¤ora del Perpetuo Socorro;Barrio El Pozo, Santa Fe
19;Parroquia Nuestra Se¤ora del Carmen;Calle Fr.Casta¤eda s/n,San Jos‚ del Rinc¢n
20;Parroquia Nuestra Se¤ora del Carmen;Calle La Rioja,2561,SantaFe
21;Parroquia Nuestra Se¤ora del Huerto;Avenida 7 Jefes,4437,Santa Fe
22;Parroquia Nuestra Se¤ora del Tr nsito;Avenida Blas Parera,7319,SantaFe
23;Parroquia Sagrada Familia;Avenida Arist¢bulo del Valle,8500,Santa Fe
24;Parroquia Sagrada Familia de Nazaret;Calle Gaboto,1767,Santo Tom‚
25;Parroquia Sagrado Coraz¢n de Jes£s;Calle 4 de Enero,2452,Santa Fe
26;Parroquia Sagrado Coraz¢n de Jes£s;Calle Las Heras,2311,Sauce Viejo
27;Parroquia Sagrado Coraz¢n de Jes£s;Calle Maip£,2255,Laguna Paiva
28;Parroquia San Agust¡n;Calle Teniente Loza,7000,Santa Fe
29;Parroquia San Antonio de Padua;Avenida J.J Paso,3349,Santa Fe
30;Parroquia San Cayetano;Calle Padre Genesio,1644,Santa Fe
31;Parroquia San Francisco Solano;Calle Iturraspe,4150,Santa Fe
32;Parroquia San Jos‚;Calle Santiago del Estero,3048,Santa Fe
33;Parroquia San Jos‚ Obrero;Calle Roque S ez Pe¤a,1176,Santa Fe
34;Parroquia San Juan Bautista;Calle Ituzaing¢,1727,Santa Fe
35;Parroquia San Juan Bosco;Calle E. Zeballos,3333,Santa Fe
36;Parroquia San Marcos;Calle Las Heras,5142,Santa Fe
37;Parroquia San Miguel Arc ngel;Calle Aldao,861,Recreo
38;Parroquia San Pablo;Calle Castelli,671,Santa Fe
39;Parroquia San Pedro;Calle Crespo,3770,Santa Fe
40;Parroquia San Roque;Calle Lavalle,5248,Santa Fe
41;Parroquia Santa Rita de Casia;Calle F. Fern ndez,5450,Santa Fe
42;Parroquia Santa Rosa de Lima;Pasaje Liniers,4649,Santa Fe
43;Parroquia Santa Teresita del Ni¤o Jes£s;Calle M. Zapata,2829,Santa Fe
44;Parroquia Todos los Santos;Calle San Jer¢nimo,1650,Santa Fe
45;Parroquia Virgen de los Pobres;Calle 12 de Octubre y Misiones,Santa Fe
46;Parroquia Barrancas;
